0.000000000000000000e+00 1.416822060330676309e-04
1.000000000000000000e+00 8.176243272620080729e-03
2.000000000000000000e+00 3.296156962717931849e-02
3.000000000000000000e+00 5.851608397372479176e-02
4.000000000000000000e+00 7.114616094079370678e-02
5.000000000000000000e+00 7.481981566947924767e-02
6.000000000000000000e+00 7.063953820432372632e-02
7.000000000000000000e+00 7.038629194101664321e-02
8.000000000000000000e+00 7.098703911739948080e-02
9.000000000000000000e+00 7.645979579485606692e-02
1.000000000000000000e+01 8.011322238094370496e-02
1.100000000000000000e+01 6.900473259799187742e-02
1.200000000000000000e+01 5.613733176086144194e-02
1.300000000000000000e+01 3.904214764209833211e-02
1.400000000000000000e+01 2.312022580223069279e-02
1.500000000000000000e+01 1.059157803624784233e-02
1.600000000000000000e+01 3.787534895767098037e-03
1.700000000000000000e+01 1.038436064719575405e-03
1.800000000000000000e+01 1.499999999999999952e-50
1.900000000000000000e+01 1.499999999999999952e-50
